
ID,Type,Issued,Title,Language,Authors,Subjects;;;;;;;;;;;;;;
"40,Text,1992-09-01,NorthWestNet User Services Internet Resource Guide (NUSIRG),en,""Kochmer, Jonathan"",Internet "; TK;;;;;;;;;;;;;
"41,Text,2008-06-27,The Legend of Sleepy Hollow,en,""Irving, Washington"",New York (State) -- History -- 1775-1865 -- Fiction "; PS ; Ghosts -- Fiction;;;;;;;;;;;;
"42,Text,1992-10-01,The Strange Case of Dr. Jekyll and Mr. Hyde,en,""Stevenson, Robert Louis"",Horror tales "; London (England) -- Fiction ; Physicians -- Fiction ; Self-experimentation in medicine -- Fiction ; Science fiction ; Psychological fiction ; Multiple personality -- Fiction ; PR;;;;;;;
"43,Text,2008-06-27,The Strange Case of Dr. Jekyll and Mr. Hyde,en,""Stevenson, Robert Louis"",Horror tales "; London (England) -- Fiction ; Physicians -- Fiction ; Self-experimentation in medicine -- Fiction ; Science fiction ; Psychological fiction ; Multiple personality -- Fiction ; PR;;;;;;;
"44,Text,2008-06-27,The Song of the Lark,en,""Cather, Willa"",Opera -- Fiction "; Chicago (Ill.) -- Fiction ; Colorado -- Fiction ; Swedish Americans -- Fiction ; Young women -- Fiction ; Women singers -- Fiction ; PS ; Bildungsromans ; Children of clergy -- Fiction ; Musical fiction;;;;;
"45,Text,2008-06-27,Anne of Green Gables,en,""Montgomery, L. M. (Lucy Maud)"",""Canada -- History -- 1867-1914 -- Fiction "; Country life -- Prince Edward Island -- Fiction ; Girls -- Fiction ; Prince Edward Island -- History -- 20th century -- Fiction ; PZ ; Orphans -- Fiction ; Islands -- Fiction ; Shirley, Anne (Fictitious character) -- Fiction ; Bildungsromans ;" Friendship -- Fiction""";;;;;
46,Text,2004-08-11,A Christmas Carol in Prose;" Being a Ghost Story of Christmas,en,""Dickens, Charles"",""Ghost stories "; London (England) -- Fiction ; Sick children -- Fiction ; PR ; Christmas stories ; Misers -- Fiction ; Scrooge, Ebenezer (Fictitious character) -- Fiction ;" Poor families -- Fiction""";;;;;;
"47,Text,2006-03-08,Anne of Avonlea,en,""Montgomery, L. M. (Lucy Maud)"",""Teachers -- Fiction "; PZ ; Orphans -- Fiction ; Islands -- Fiction ; Shirley, Anne (Fictitious character) -- Fiction ; Prince Edward Island -- History -- 20th century -- Fiction ;" Canada -- History -- 1914-1945 -- Fiction""";;;;;;;;
"48,Text,1993-01-01,The 1992 CIA World Factbook,en,United States. Central Intelligence Agency,""Political statistics -- Handbooks, manuals, etc. "; World politics -- Handbooks, manuals, etc. ; Political science -- Handbooks, manuals, etc. ; G ;" Geography -- Handbooks, manuals, etc.""";;;;;;;;;;
"49,Text,1993-01-01,""Surfing the Internet: An Introduction";;;;;;;;;;;;;;
"Version 2.0.2"",en,""Polly, Jean Armour"",Computer network resources -- Directories "; TK ; Electronic mail systems -- Directories ; Internet addresses -- Directories;;;;;;;;;;;
"50,Dataset,1993-01-01,Pi,en,""Hemphill, Scott"",Pi "; QA ; Mathematics;;;;;;;;;;;;
"51,Text,2006-03-08,Anne of the Island,en,""Montgomery, L. M. (Lucy Maud)"",""Nova Scotia -- History -- 20th century -- Fiction "; PZ ; Orphans -- Fiction ; Shirley, Anne (Fictitious character) -- Fiction ; Self-perception -- Fiction ; Universities and colleges -- Fiction ; Interpersonal relations -- Fiction ; Prince Edward Island -- History -- 20th century -- Fiction ;" Canada -- History -- 1914-1945 -- Fiction""";;;;;;
"52,Dataset,1993-02-01,The Square Root of 2,en,""Kerr, Stan"",Square root "; QA ; Mathematics;;;;;;;;;;;;
"53,Text,1993-02-01,""Workshop on Electronic Texts: Proceedings, 9-10 June 1992"",en,Library of Congress,Electronic books "; Z ; Text processing (Computer science) -- Congresses ; Electronic publishing -- Congresses;;;;;;;;;;;
"54,Text,1993-02-01,The Marvelous Land of Oz,en,""Baum, L. Frank (Lyman Frank)"",Queens -- Juvenile fiction "; Voyages and travels -- Juvenile fiction ; Women soldiers -- Juvenile fiction ; Kings and rulers -- Juvenile fiction ; Oz (Imaginary place) -- Juvenile fiction ; PZ ; Youth -- Conduct of life -- Juvenile fiction ; Practical jokes -- Juvenile fiction ; Magic -- Juvenile fiction ; Witches -- Juvenile fiction ; Friendship -- Juvenile fiction ; Fantasy literature ; Conduct of life -- Juvenile fiction;;
"55,Text,1993-02-01,The Wonderful Wizard of Oz,en,""Baum, L. Frank (Lyman Frank)"",""Scarecrow (Fictitious character from Baum) -- Juvenile fiction "; Tin Woodman (Fictitious character) -- Juvenile fiction ; Gale, Dorothy (Fictitious character) -- Juvenile fiction ; Wizard of Oz (Fictitious character) -- Juvenile fiction ; Cowardly Lion (Fictitious character) -- Juvenile fiction ; Courage -- Juvenile fiction ; Oz (Imaginary place) -- Juvenile fiction ; PZ ; Cyclones -- Juvenile fiction ; Dreams -- Juvenile fiction ; Toto (Fictitious character) -- Juvenile fiction ; Home -- Juvenile fiction ; Witches -- Juvenile fiction ; Good and evil -- Juvenile fiction ;" Fantasy literature"""
"56,Text,1993-03-01,NREN for All: Insurmountable Opportunity,en,""Polly, Jean Armour"",National Research and Education Network (Computer network) "; Internet ; TK;;;;;;;;;;;;
57,Text,1993-03-01,Aladdin and the Magic Lamp,en,Unknown,Fairy tales ; Arabs -- Folklore ; Children's stories ; PZ ; Folklore -- Arab countries;;;;;;;;;;
"58,Text,1993-03-01,Paradise Regained,en,""Milton, John"",Bible. Gospels -- History of Biblical events -- Poetry "; English poetry ; Jesus Christ -- Temptation -- Poetry ; Epic poetry ; PR;;;;;;;;;;
"59,Text,1993-03-01,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,en,""Descartes, René"",B "; Science -- Methodology ; Methodology;;;;;;;;;;;;
"60,Text,2006-03-08,The Scarlet Pimpernel,en,""Orczy, Emmuska Orczy, Baroness"",""Blakeney, Percy, Sir (Fictitious character) -- Fiction "; Nobility -- Fiction ; British -- France -- Fiction ; Adventure stories ; France -- History -- Revolution, 1789-1799 -- Fiction ; Historical fiction ;" PR""";;;;;;;;
"61,Text,2005-01-25,The Communist Manifesto,en,""Engels, Friedrich ";" Marx, Karl"",HX "; Socialism ; Communism;;;;;;;;;;;
"62,Text,1993-04-01,A Princess of Mars,en,""Burroughs, Edgar Rice"",""Mars (Planet) -- Fiction "; Dejah Thoris (Fictitious character) -- Fiction ; Carter, John (Fictitious character) -- Fiction ; Science fiction ; Princesses -- Fiction ;" PS""";;;;;;;;;
"63,Text,1993-04-01,""The Number """"e"""""",en,Unknown,Mathematical constants "; QA ; Mathematics;;;;;;;;;;;;
"64,Text,1993-05-01,The Gods of Mars,en,""Burroughs, Edgar Rice"",""Mars (Planet) -- Fiction "; Dejah Thoris (Fictitious character) -- Fiction ; Carter, John (Fictitious character) -- Fiction ; Science fiction ; Life on other planets -- Fiction ;" PS""";;;;;;;;;
"65,Dataset,1993-05-01,""The First 100,000 Prime Numbers"",en,Unknown,""Numbers, Prime "; QA ;" Mathematics""";;;;;;;;;;;;
"66,Text,1993-05-01,The Dawn of Amateur Radio in the U.K. and Greece: A Personal View,en,""Joly, Norman F."",Radio broadcasting "; TK;;;;;;;;;;;;;
"67,Text,1993-05-01,The Black Experience in America,en,""Coombs, Norman"",African Americans -- History "; Slavery -- United States -- History ; E151;;;;;;;;;;;;
"68,Text,1993-06-01,The warlord of Mars,en,""Burroughs, Edgar Rice"",""Mars (Planet) -- Fiction "; Dejah Thoris (Fictitious character) -- Fiction ; Carter, John (Fictitious character) -- Fiction ; Science fiction ;" PS""";;;;;;;;;;
"69,Text,1993-06-01,""The 32nd Mersenne Prime";;;;;;;;;;;;;;
"Predicted by Mersenne"",en,""Slowinski, David"",""Numbers, Prime "; QA ;" Number theory""";;;;;;;;;;;;
"70,Text,2004-09-13,What Is Man? and Other Essays,en,""Twain, Mark"",PS "; American essays;;;;;;;;;;;;;
"71,Text,1993-06-01,On the Duty of Civil Disobedience,en,""Thoreau, Henry David"",""PS "; Government, Resistance to ; Civil disobedience ;" HM""";;;;;;;;;;;
"72,Text,1993-07-01,""Thuvia, Maid of Mars"",en,""Burroughs, Edgar Rice"",Science fiction "; Martians -- Fiction ; Mars (Planet) -- Fiction ; PS;;;;;;;;;;;
"73,Text,1993-07-01,The Red Badge of Courage: An Episode of the American Civil War,en,""Crane, Stephen"",""Virginia -- History -- Civil War, 1861-1865 -- Fiction "; United States -- History -- Civil War, 1861-1865 -- Fiction ; PS ; Chancellorsville, Battle of, Chancellorsville, Va., 1863 -- Fiction ; Historical fiction ;" War stories""";;;;;;;;;
"74,Text,2004-07-01,""The Adventures of Tom Sawyer, Complete"",en,""Twain, Mark"",""Male friendship -- Fiction "; Runaway children -- Fiction ; Missouri -- Fiction ; Child witnesses -- Fiction ; Humorous stories ; Boys -- Fiction ; Adventure stories ; Sawyer, Tom (Fictitious character) -- Fiction ; PS ; Bildungsromans ;" Mississippi River Valley -- Fiction""";;;;
"75,Text,1993-07-01,E-mail 101,en,""Goodwin, John E."",Electronic mail systems "; TK;;;;;;;;;;;;;
"76,Text,2004-06-29,Adventures of Huckleberry Finn,en,""Twain, Mark"",""Male friendship -- Fiction "; Runaway children -- Fiction ; Finn, Huckleberry (Fictitious character) -- Fiction ; Missouri -- Fiction ; Fugitive slaves -- Fiction ; Mississippi River -- Fiction ; Race relations -- Fiction ; Humorous stories ; Boys -- Fiction ; Adventure stories ; PS ;" Bildungsromans""";;;
"77,Text,1993-08-01,The House of the Seven Gables,en,""Hawthorne, Nathaniel"",Paranormal fiction "; Haunted houses -- Fiction ; Salem (Mass.) -- Fiction ; PS ; Historical fiction ; Domestic fiction;;;;;;;;;
"78,Text,1993-08-01,Tarzan of the Apes,en,""Burroughs, Edgar Rice"",British -- Africa -- Fiction "; Africa -- Fiction ; Wild men -- Fiction ; Adventure stories ; Fantasy fiction ; PS ; Tarzan (Fictitious character) -- Fiction;;;;;;;;
"79,Text,1993-08-01,Terminal Compromise,en,""Schwartau, Winn"",""PQ "; Privacy, Right of -- Fiction ; Records -- Access control -- Fiction ; Didactic fiction ;" Computer security -- Fiction""";;;;;;;;;;
"80,Text,1993-09-01,The Online World,en,""De Presno, Odd"",Internet "; TK;;;;;;;;;;;;;
"81,Text,1993-09-01,The Return of Tarzan,en,""Burroughs, Edgar Rice"",PZ "; Adventure stories ; Fantasy fiction ; PS ; Tarzan (Fictitious character) -- Fiction;;;;;;;;;;
"82,Text,2008-06-25,Ivanhoe: A Romance,en,""Scott, Walter"",""Great Britain -- History -- Richard I, 1189-1199 -- Fiction "; Knights and knighthood -- Fiction ; Normans -- Great Britain -- Fiction ; Love stories ; Anglo-Saxons -- Fiction ; Triangles (Interpersonal relations) -- Fiction ; Ivanhoe, Wilfred of, Sir (Fictitious character) -- Fiction ; Historical fiction ; Jews -- England -- Fiction ;" PR""";;;;;
"83,Text,1993-09-01,""From the Earth to the Moon";" and, Round the Moon"",en,""Verne, Jules"",Space flight to the moon -- Fiction "; PQ ; Science fiction ; Space ships -- Fiction ; Moon -- Fiction ; Manned space flight -- Fiction;;;;;;;;
"84,Text,1993-10-01,""Frankenstein";" Or, The Modern Prometheus"",en,""Shelley, Mary Wollstonecraft"",""Frankenstein, Victor (Fictitious character) -- Fiction "; Gothic fiction ; Horror tales ; Scientists -- Fiction ; Science fiction ; Monsters -- Fiction ; Frankenstein's monster (Fictitious character) -- Fiction ;" PR""";;;;;;
"85,Text,1993-10-01,The Beasts of Tarzan,en,""Burroughs, Edgar Rice"",Jungle animals -- Fiction "; PZ ; Adventure stories ; Fantasy fiction ; PS ; Tarzan (Fictitious character) -- Fiction;;;;;;;;;
"86,Text,2004-07-07,A Connecticut Yankee in King Arthur's Court,en,""Twain, Mark"",Satire "; Kings and rulers -- Fiction ; Arthurian romances -- Adaptations ; Time travel -- Fiction ; Fantasy fiction ; PS ; Britons -- Fiction ; Knights and knighthood -- Fiction ; Americans -- Great Britain -- Fiction;;;;;;
"87,Text,1993-10-01,The 1993 CIA World Factbook,en,United States. Central Intelligence Agency,""Political statistics -- Handbooks, manuals, etc. "; World politics -- Handbooks, manuals, etc. ; Political science -- Handbooks, manuals, etc. ; G ;" Geography -- Handbooks, manuals, etc.""";;;;;;;;;;
88,Text,1993-11-01,Price/Cost Indexes from 1875 to 1989;" Estimated to 2010,en,""Hart, Michael"",HG "; Cost and standard of living;;;;;;;;;;;;
"89,Text,1993-11-01,""North American Free Trade Agreement, 1992 Oct. 7 Tariff Phasing Descriptions"",en,Canada,""KDZ "; Free trade -- North America ; Free trade -- United States ; Free trade -- Canada ; Foreign trade regulation -- North America ; Tariff -- Law and legislation -- North America ; Canada. Treaties, etc. 1992 Oct. 7 ;" Free trade -- Mexico""";;;;;;;
"90,Text,1993-11-01,The Son of Tarzan,en,""Burroughs, Edgar Rice"",PZ "; Adventure stories ; Fantasy fiction ; PS ; Tarzan (Fictitious character) -- Fiction;;;;;;;;;;
"91,Text,2004-09-14,Tom Sawyer Abroad,en,""Twain, Mark"",""Adventure stories "; Sawyer, Tom (Fictitious character) -- Fiction ; Balloon ascensions -- Fiction ; PS ;" Americans -- Foreign countries -- Fiction""";;;;;;;;;;
"92,Text,1993-12-01,Tarzan and the Jewels of Opar,en,""Burroughs, Edgar Rice"",Adventure stories "; PS ; Fantasy fiction ; Tarzan (Fictitious character) -- Fiction;;;;;;;;;;;
"93,Text,2004-09-14,""Tom Sawyer, Detective"",en,""Twain, Mark"",""Sawyer, Tom (Fictitious character) -- Fiction "; Mystery fiction ;" PS""";;;;;;;;;;;;
"94,Text,2006-03-08,Alexander's Bridge,en,""Cather, Willa"",Mistresses -- Fiction "; Bridges -- Design and construction -- Fiction ; London (England) -- Fiction ; Civil engineers -- Fiction ; Psychological fiction ; Married people -- Fiction ; PS ; Boston (Mass.) -- Fiction;;;;;;;
"95,Text,2006-01-09,The prisoner of Zenda,en,""Hope, Anthony"",Kings and rulers -- Fiction "; Love stories ; Impostors and imposture -- Fiction ; Adventure stories ; British -- Foreign countries -- Fiction ; Political kidnapping -- Fiction ; PR;;;;;;;;
"96,Text,1994-01-01,The Monster Men,en,""Burroughs, Edgar Rice"",Science fiction "; PS ; Fantasy fiction;;;;;;;;;;;;
"97,Text,1994-01-01,Flatland: A Romance of Many Dimensions,en,""Abbott, Edwin Abbott"",Fourth dimension "; QA;;;;;;;;;;;;;
"98,Text,1994-01-01,A Tale of Two Cities,en,""Dickens, Charles"",""London (England) -- History -- 18th century -- Fiction "; War stories ; Executions and executioners -- Fiction ; Lookalikes -- Fiction ; British -- France -- Paris -- Fiction ; Paris (France) -- History -- 1789-1799 -- Fiction ; French -- England -- London -- Fiction ; France -- History -- Revolution, 1789-1799 -- Fiction ; Historical fiction ;" PR""";;;;;
"99,Text,1994-01-01,Collected Articles of Frederick Douglass,en,""Douglass, Frederick"",""Douglass, Frederick, 1818-1895 "; Slavery ; African American abolitionists ; Reconstruction (U.S. history, 1865-1877) ; E300 ; E660 ;" Essays""";;;;;;;;
